author_id,author_nickname,author_signature,author_uniqueId,desc,music_album,music_authorName,authorStats_followerCount,authorStats_followingCount,authorStats_heart,authorStats_videoCount,stats_commentCount,stats_playCount,statsV2_commentCount,statsV2_diggCount,statsV2_playCount
7130319692158370821,Toons Tunes,⬇️ Make your own AI songs ⬇️,toons.tunes,#aicover #fyp #foryou #toothbrush #ai #aisongs #aisong #viral #aisnogcover #abc #fypシ #aisongcover #gangstasparadise #music #cover,,Toons Tunes,828700,10,58000000,310,114500,62700000,114454,7688361,62734033
7315718992885433386,CamrinAI,"AI generated things.
Make Viral AI Slideshows ⬇️",camrinai,#ai #chatgpt #chatgpt4 #aiart #aigeberatedart ,,🎧,103700,53,11900000,45,19500,47200000,19482,7574120,47219440
7088314057320858629,zuxie_q (6”2 btw),🎯20k🎯,zuxie_q,#fyp #foryou #viral #funny #meme #foryoupage #tiktok #fy #funnyvideo #black #cat #catsoftiktok #ai #image ,,Lulu🫧!!,16700,314,8100000,121,38700,40800000,38731,4968741,40765866
7050055374817772571,zjayyyn,ดูตัวอย่าง/สั่งงานจิ้มลิงค์เลยงับ,hxntaizn7,Cr. Yuu  #ฟีด #fypシ #AI,,ถูกและดีมีอยู่จริง,31100,4,4800000,32,74000,51000000,74024,4800457,50997187
6577383092180746241,🐮,Ur mom,cheybhabie,THIS AI SHIT IS TOO MUCH WHO TF IS THAT PERSON IN MY MIRROR WHY DID SHE GET OUT OF THE MIRROR WHERE DID SHE GO???? #GHOSTS #SCARED #omfg #wtf #AI #FYP ,たぶん,YOASOBI,21000,554,6300000,480,15700,37400000,15733,4555001,37352720
7130319692158370821,Toons Tunes,⬇️ Make your own AI songs ⬇️,toons.tunes,Created on voicemy.ai #aicover #fyp #foryou #toad #ai #aisongs #aisong #viral #aisnogcover #abc #fypシ #aisongcover #myheartwillgoon #titanic #music #cover ,,Toons Tunes,828700,10,58000000,310,88000,43500000,88021,4289324,43468109
7196044593741055018,Conch AI,"write, study, and research faster
↘️ try it for free ↙️",getconch.ai,there’s no way 💀 #chatgpt #ai #school #essay #college #highschool ,,Conch AI,242900,0,6300000,263,12800,30200000,12769,4224859,30244278
7153958358479307781,El planeta de Edmunds,"Contenido generado con IA
y mucho más
elplanetadeedmunds@gmail.com
        📩",edmundsplanet,Animales que no subieron al Arca de Noé 🌊  #animales #diluvio #arcadenoe #noe #diluviouniversal #noé #animal #arca #biblia #ia #ai #midjourney #midjourneyv4 #misterio #inteligenciaartificial ,Paris,Else,1200000,0,28200000,291,19600,47600000,19596,4137492,47622717
6615253486966571013,❤️Double_Tails❤️,Level 29 👴🏼,double_tails,i just wana be waifu 😭 #anime #ai ,告白実行委員会 -FLYING SONGS- 恋してる,HoneyWorks,99700,244,5200000,78,34700,41400000,34700,4063799,41416540
6727760857633948678,VBunny,"hi, i’m VBunny 😊🤍",vbunnygo,She noticed my bunny ears- 😅 #ces2022 #robot #ameca #boostofhope #irobot #notlikethis #ai #jokes,,VBunny,2100000,87,35000000,1738,49700,20600000,49666,4016020,20635109
7315718992885433386,CamrinAI,"AI generated things.
Make Viral AI Slideshows ⬇️",camrinai,#ai #chatgpt #chatgpt4 #aiart #aigeberatedart ,,🎧,103700,53,11900000,45,22600,21400000,22635,3978739,21359559
6809299831880107014,Daniel Moseley,"Stand up comedian, working on the stand up bit
🏃‍♂️🦽 
Thanks for 500k",danielmozeley,Damn 💀 #fyp #ai #snapchat #wheelchair #disabled #snap ,,ria ❥,580800,141,48600000,249,42100,28300000,42132,3933563,28315098
6814191583455380485,abigail,"keep it 🍋
jennifer coolidge fanpage 
TX📍",abigailwhhitee,bro.. what #fyp #aipainting #ai ,,Sid,850200,948,26500000,1035,27800,21600000,27771,3829879,21598600
7241990609442030619,ai abuser,"content generated by ai
ty all for the support !
road to 300 k?🗿
send me ideas",ai_abuser__,#fyp #animals #faceoff #ai #ocean #generatedbyai ,,𝕃𝕦𝕔𝕚𝕗𝕖𝕣_ℙ𝕙𝕠𝕟𝕜 ♥,228500,7,6500000,24,29700,56900000,29744,3810098,56935870
7180012672627573766,Generation AI,"Weekly Content
👉🏽 artistic.genai@gmail.com
⚡️ Patreon | Downloads & Tutorial",generationai,Thoughts? 😂 #madagascar #ai #trend #viral #imaginedbyai #disney #marvel #character #animation #anime #animetiktok #disneyplus #fashion #model #animeedit #cartoon #nostalgia #90s #nickelodeon @BEMAX ,I like to TUCA,Bemax,592100,181,22100000,197,44900,24600000,44907,3707540,24578650
7319744545503216682,Samooo,Hey! How are you?,samoooburger,Golden retriever dancing like this #goldenretriever #dog #pet #AI,,Samooo,18500,0,3600000,2,41200,39600000,41233,3612229,39631427
7231786963682345990,AILewd,"https://linktr.ee/ailewd
ko-fi.com/ailewd
youtube.com/@ai-lewd",ailewd,AI generated babes Part 4 #ailewd #ailewds  #ai #GetCrackin #aiart #aigeneratedimages #visualart #animation #deforumstablediffusion #generativeart #ukrainianunderground #office #routine #dailyroutine #indoors #aianimation #fyp #fypシ #abstractart #nextgenartist  #artificialintelligence #aigenerated #generatedimage #fyp #viral #aiartcommunity  #aiartgenerator #highfashiontiktok #couturetiktok  #fy #princess #princesses #aigeneratedart #viral #viralvideo ,body,INDRAGERSN,999500,2,5900000,77,17100,43500000,17057,3506283,43458502
